epoch,categorical_accuracy,loss,lr
0,0.19224782379294422,3.2272684969059369,0.01
1,0.21468738572592938,3.1280698750129354,0.01
2,0.22528201064016617,3.0888626524074612,0.01
3,0.23040696974674574,3.0650976904842357,0.01
4,0.23365585993134441,3.0479863936678835,0.01
5,0.23625617337735982,3.0344105921322737,0.01
6,0.23798210864133987,3.0234449056443049,0.01
7,0.23967201199180591,3.0141627199770724,0.01
8,0.24114932631788297,3.0060306980781846,0.01
9,0.24232877544367318,2.9987078267079199,0.01
10,0.2434469702548655,2.9924985742803552,0.01
11,0.244451063626756,2.9864590923890213,0.01
12,0.24569897377355923,2.9809779931670697,0.01
13,0.24633914326551401,2.9761905662079293,0.01
14,0.24734443756817309,2.9717917346964882,0.01
15,0.24801703602061831,2.9675893988371889,0.01
16,0.24894065765980156,2.9636542550752845,0.01
17,0.24959283786473921,2.9600585657846006,0.01
18,0.25011049818767939,2.9566862351314289,0.01
19,0.25090800771928545,2.9535411689879698,0.01
20,0.25160222536371618,2.9507056069719546,0.01
21,0.25226521523911727,2.9478680215903252,0.01
22,0.25269159439312677,2.9453963498949904,0.01
23,0.2532416838164428,2.9428428205329604,0.01
24,0.25384822340027929,2.9405088177980301,0.01
25,0.254093241393821,2.9383986268113711,0.01
26,0.25463011903432342,2.9362667057056342,0.01
27,0.25498683637171188,2.9340856221706946,0.01
28,0.25557535995397646,2.9321641146668207,0.01
29,0.25598492427643393,2.9303393344194002,0.01
30,0.25599092961717573,2.9285258878616838,0.01
31,0.25646174845589809,2.9269222086999389,0.01
32,0.25680044977617972,2.9252300271820775,0.01
33,0.25706828801528686,2.9235269776219823,0.01
34,0.25769764797376421,2.9222221792031733,0.01
35,0.25778412489619573,2.9205048826771378,0.01
36,0.25801352899783103,2.9191835977317924,0.01
37,0.25838586009268122,2.9179147836428347,0.01
38,0.25861046003021659,2.9165478844083852,0.01
39,0.25898038910639121,2.9151564409658275,0.01
40,0.25892994431474714,2.9138646660341867,0.01
41,0.25933950867611338,2.9125891194404137,0.01
42,0.25963857452940248,2.9114910099454008,0.01
43,0.2597466707779062,2.9103572212946687,0.01
44,0.25975027401807432,2.9092909326138607,0.01
45,0.26028234746848994,2.9081880500533015,0.01
46,0.26045530125006811,2.9070751917814199,0.01
47,0.26062465184445421,2.9060811734225638,0.01
48,0.26077718774373743,2.9051836327370939,0.01
49,0.2610438249065708,2.9041643073195615,0.01
50,0.26118194774771275,2.9031102304938599,0.01
51,0.26126121832901333,2.9022003097563229,0.01
52,0.26145338909526372,2.9012300841623264,0.01
53,0.26161193026641988,2.9004597084132389,0.01
54,0.26180530236530514,2.8995086981714291,0.01
55,0.26208875436405743,2.8986890290340477,0.01
56,0.26212238434920576,2.8978078255296098,0.01
57,0.26226170826586975,2.897012910719968,0.01
58,0.26240343444729741,2.8962394931684425,0.01
59,0.26278177089187388,2.8953979259154723,0.01
60,0.2626916907580531,2.8946601411470074,0.01
61,0.2630075718837051,2.8939552224383176,0.01
62,0.26306642422104182,2.8931658411794814,0.01
63,0.26313848835701331,2.8924159900023771,0.01
64,0.2635612643402247,2.8917123057708607,0.01
65,0.26324538329435893,2.8909761396424263,0.01
66,0.26369218075035539,2.8902711357425175,0.01
67,0.26380748331185544,2.8896370849221853,0.01
68,0.26399124682392466,2.8890337368980012,0.01
69,0.26402607794938332,2.8884208018933197,0.01
70,0.26432874720083804,2.8875898458008478,0.01
71,0.26428550868890127,2.8870633652607607,0.01
72,0.26436357815319389,2.8864346130467382,0.01
73,0.26497251988077236,2.8834853462450654,0.005
74,0.2652031250966953,2.883006604096666,0.005
75,0.26522954845983227,2.8827552404280805,0.005
76,0.26523074952171655,2.8824440637682116,0.005
77,0.26556224450630811,2.8809294927589146,0.0025
78,0.26558146169790908,2.8807477167244775,0.0025
79,0.26550819643079066,2.8806034764713977,0.0025
80,0.26577963788006997,2.8798044719025189,0.00125
81,0.26572438889697886,2.8797098276667237,0.00125
82,0.26574240492027806,2.879628970591082,0.00125
83,0.26586851708659426,2.8792542051482761,0.000625
84,0.26580245826867072,2.8790676778526625,0.0003125
85,0.26592857039189016,2.8789578876055151,0.00015625
86,0.26584809869601556,2.8789364290995243,0.00015625
87,0.26588653291438319,2.878928096290692,0.00015625
88,0.26592256504631606,2.8788839059738134,7.8125e-05
89,0.26591175536010297,2.8788556121287581,3.90625e-05
90,0.26594058104201762,2.878844909944521,1.95312e-05
91,0.26592977143279878,2.8788357193863985,9.76562e-06
92,0.26592857049236568,2.8788315796383861,4.88281e-06
93,0.26589854364619403,2.8788294950152742,2.44141e-06
94,0.26589974469812744,2.8788283787210869,1.2207e-06
95,0.26589734270726428,2.8788283215332955,6.10352e-07
96,0.26589133725745628,2.8788282164677526,3.05176e-07
97,0.26588893500550709,2.8788281816226831,1.52588e-07
98,0.26588773422006473,2.8788281838333591,7.62939e-08
99,0.26588773407620608,2.8788281783421765,3.8147e-08
