epoch,categorical_accuracy,loss,lr
0,0.32095459415102229,1.3575286045154922,0.01
1,0.43501753489541817,1.1932175615901581,0.01
2,0.48409801568921551,1.1281682076294297,0.01
3,0.53155907018962811,1.0537016516625006,0.01
4,0.55469712472532273,1.0167299333381725,0.01
5,0.57047271258601928,0.98881519577396004,0.01
6,0.5848579633737675,0.9673098866591564,0.01
7,0.59537238861240027,0.9476902704990452,0.01
8,0.60636079226334361,0.92846234399537764,0.01
9,0.61381015509916004,0.91385571727120762,0.01
10,0.62098303151894596,0.90061850872982108,0.01
11,0.62813220840911188,0.88840660972196228,0.01
12,0.63083388645995431,0.87962412766929332,0.01
13,0.63600815240985076,0.87058326975182121,0.01
14,0.63961828963189349,0.86139724825247244,0.01
15,0.64407368891366557,0.85352238387893076,0.01
16,0.64738363951390954,0.84677672184831665,0.01
17,0.65165734579240175,0.8393455892843662,0.01
18,0.652810693937941,0.8342130668759139,0.01
19,0.65604954792597614,0.82830233247629603,0.01
20,0.65980187850898453,0.82273568661664109,0.01
21,0.6618636847145053,0.81795987233236567,0.01
22,0.66285904065863599,0.81333534755115244,0.01
23,0.66583720568300186,0.80861410330523698,0.01
24,0.66799380776667239,0.80397041003037417,0.01
25,0.66902866116363968,0.80031887180572336,0.01
26,0.67049799510855346,0.79997573342184536,0.01
27,0.67218851793221801,0.79373146823583574,0.01
28,0.67534837581295681,0.78871368799864428,0.01
29,0.67716529435688355,0.78505441657279484,0.01
30,0.67812905006997526,0.78222365389240289,0.01
31,0.67912440624388337,0.77963629362801412,0.01
32,0.68154959615442268,0.77592667646007585,0.01
33,0.68220526607551824,0.773283094530268,0.01
34,0.68391948804081792,0.76986696920557018,0.01
35,0.68448826226064985,0.76813982097285993,0.01
36,0.68649477163046557,0.76516997576679002,0.01
37,0.68778241398466566,0.761865682572472,0.01
38,0.68940974062538618,0.75914049874053591,0.01
39,0.68979682298988387,0.7576617605558793,0.01
40,0.69005751162301265,0.75565918395503207,0.01
41,0.69177173386517532,0.75256835628573648,0.01
42,0.69330426402787637,0.75000409962317538,0.01
43,0.69486049363826863,0.74787323458856114,0.01
44,0.69504218528171802,0.74632822717087799,0.01
45,0.69666951205804495,0.74398888803739049,0.01
46,0.69702499565115528,0.74293385208901752,0.01
47,0.69760167025975839,0.74051061120629025,0.01
48,0.69811514637257566,0.73917233926046699,0.01
49,0.69912630083414262,0.73721657929708406,0.01
