epoch,categorical_accuracy,loss,lr
0,0.069111112588809601,2.7188875218850597,0.01
1,0.07711111269808478,2.705738445847123,0.01
2,0.087777779860353025,2.6991997711040354,0.01
3,0.09674074317045786,2.6883429994229919,0.01
4,0.1022962989266272,2.6809632993627477,0.01
5,0.10733333611267584,2.6699797717200386,0.01
6,0.11133333624016356,2.658714920538443,0.01
7,0.11562963263690472,2.6550055200788711,0.01
8,0.12303704026893333,2.6421296513168899,0.01
9,0.12392592936754226,2.635443915331805,0.01
10,0.12777778110349619,2.6289532976503724,0.01
11,0.12903704058792856,2.6304158096313475,0.01
12,0.13170370721651448,2.6175019856912121,0.01
13,0.13918518858154616,2.6087809769665755,0.01
14,0.13785185559038762,2.6083948734424731,0.01
15,0.13600000360497722,2.6049319416328713,0.01
16,0.14014815165599187,2.5959932777263499,0.01
17,0.14103704074052748,2.5992464427241573,0.01
18,0.14437037417844489,2.5895516902782298,0.01
19,0.14703704068782153,2.5813150350782608,0.01
20,0.14748148522664001,2.5801280352981002,0.01
21,0.14940741138436175,2.5742658687167697,0.01
22,0.14977778181875193,2.5712001123781558,0.01
23,0.15577778168629716,2.5684588623046873,0.01
24,0.15318518880561546,2.5629300263722739,0.01
